152.14.142.29,614.9630799,,152.14.142.229,614.9619169
75,0.02019906,,73,0.008261681
76,0.00925231,,74,0.010116577
77,0.006080866,,75,0.012973309
78,0.014264584,,76,0.006316423
79,0.007209301,,77,0.007209301
80,0.006994724,,78,0.006994724
81,0.006251097,,79,0.018085957
82,0.007979155,,80,0.008946896
83,0.023138523,,81,0.007150888
84,0.007043123,,82,0.007043123
85,0.016335726,,83,0.016335726
86,0.006072521,,84,0.006945848
87,0.008195162,,85,0.008195162
88,0.005154371,,86,0.006119967
89,0.018043041,,87,0.018043041
90,0.00810504,,88,0.007108688
91,0.008073568,,89,0.013993979
92,0.005993605,,90,0.02393198
93,0.008940935,,91,0.020938396
94,0.007157803,,92,0.008158207
95,0.007950068,,93,0
96,0.014962435,,93,0.013963223
97,0.008150816,,94,0.006079435
98,0.012126684,,95,0.008150816
99,0.010298491,,96,0.012126684
100,0.023935556,,97,0.009313822
101,0.008107185,,98,0.006000042
102,0.016349554,,99,0.009071827
103,0.006081104,,100,0.007287502
104,0.007109404,,101,0.006081104
105,0.006433964,,102,0.008112431
106,0.014299154,,103,0.011349678
107,0.006468058,,104,0.006377935
108,0.012063026,,105,0.006468058
109,0.006222963,,106,0.006180763
110,0.006191015,,107,0.012211084
111,0.007222652,,108,0.007056952
112,0.005469799,,109,0.007222652
113,0.007128477,,110,0.019336224
114,0.011966944,,111,0.007128477
115,0.010177612,,112,0.010034561
116,0.006982088,,113,0.010177612
117,0.01317668,,114,0.007110596
118,0.013962746,,115,0.005295277
119,0.025034666,,116,0.00608182
120,0.007104397,,117,0.025034666
121,0.006117105,,118,0.007996082
122,0.006075144,,119,0.007079363
123,0.007080793,,120,0.006945133
124,0.008316517,,121,0.007080793
125,0.008196592,,122,0.009284735
126,0.014270306,,123,0.008196592
127,0.006053209,,124,0.005256414
128,0.020151138,,125,0.02596283
129,0.006011486,,126,0.005284309
130,0.005954742,,127,0.006948709
131,0.00744462,,128,0.019920349
132,0.008989573,,129,0.00744462
133,0.006077051,,130,0.008989573
134,0.006953001,,131,0.01099658
135,0.01396513,,132,0.013962269
136,0.007981062,,133,0.006090164
137,0.018274307,,134,0.007981062
138,0.005960226,,135,0.006276608
139,0.010246754,,136,0.006080389
140,0.008013487,,137,0.022115231
141,0.018134356,,138,0.008013487
142,0.010127068,,139,0.006116867
143,0.012204647,,140,0.010127068
144,0.008238077,,141,0.012204647
145,0.018010616,,142,0.008238077
146,0.014993668,,143,0.006088018
147,0.009244919,,144,0.00702095
148,0.009167433,,145,0.00838089
149,0.006203175,,146,0.009167433
150,0.006081343,,147,0.013150215
151,0.010970116,,148,0.014093399
152,0.010178089,,149,0.005953074
153,0.011104345,,150,0.011045694
154,0.00600791,,151,0.005092621
